SiteID,SiteName,Address,City,State,Zip,County,Latitude,Longitude,Notes,Group,Tower Owner,Tower Owner Site Number,Viaero POC,Site Type,Lease Area Type,Power Company,Meter Number,Telco / Fiber Provider,Telco / Fiber POC,Measurement 1 (inches),Measurement 2 (inches),Measurement 3 (inches),Measurement 4 (inches),Measurement 5 (inches),Measurement 6 (inches),Measurement 7 (inches),Measurement 8 (inches),Measurement 9 (inches),Measurement 10 (feet),Measurement 11 (feet),Walked By,Date Walked,Checked In,Checked Out,Lease Area Issues,Gate/Shelter Code,Photos Uploaded,Site Walk Form Uploaded,Measurements PDF Uploaded,Confirmation Email Recv'd,Action Needed
1,NE-FRANKLIN,1033 J Street, Franklin,NE,68939,FRANKLIN,40.09193,-98.95991,Site ID 1 Phase Priority P2-1,Phase 1,INDUSTRIAL TOWER WEST,1304476,Chris Bolton 308-370-1857  chris.bolton@viaero.com,"SELF-SUPPORT (150' 7"")",COMPOUND,Southern Power District,141521220,VIAERO,Chris Bolton,134,127,181,157,227,170,72,112,84,,18,Cody Waite,8/4/2025,10:12:00 AM,11:45:00 AM,None,1225 / KEYED,X,X,X,"9/7/2025
PHOTOS & SWF ONLY",COMPLETE
252,NE-BLUE_HILL,306 N. W Railway Street, Blue Hill,NE,68930,WEBSTER,40.33496107,-98.451949,Site ID 252 Phase Priority P2-1,Phase 1,INDUSTRIAL TOWER WEST,1249063,Chris Bolton 308-370-1857  chris.bolton@viaero.com,SELF-SUPPORT-195',COMPOUND,NPPD,106314309,VIAERO,Chris Bolton,104,215,206,96,150,65,91,60,32,NA,22,Derrick Molehill/Jamey Lott,9/17/2025,11:30:00 AM,3:00:00 PM,None,1225 / KEYED,X,X,X,9/19/2025,COMPLETE
263,NE-HOLSTEIN,42.07647778, Holstein,NE,68950,ADAMS,40.46762781,-98.6520325,Site ID 263 Phase Priority P2-1,Phase 1,INDUSTRIAL TOWER WEST,1250034,Chris Bolton 308-370-1857  chris.bolton@viaero.com,"SELF-SUPPORT (195' 4"")",COMPOUND,Southern Power District,135448585,VIAERO,Chris Bolton,134,168,212,95,202,218,228,62,72,NA,NA,Cody Waite,,,,None,1225 / KEYED,X,X,X,"9/7/2025
PHOTOS ONLY",COMPLETE
336,NE-UPLAND,185 South Greenfield Ave., Upland,NE,68981,FRANKLIN,40.31869,-98.90531,Site ID 336 Phase Priority P2-1,Phase 1,INDUSTRIAL TOWER WEST,1282637,Chris Bolton 308-370-1857  chris.bolton@viaero.com,"SELF-SUPPORT (195' 4"")",COMPOUND,Southern Power District,141023979,VIAERO,Chris Bolton,139,220,250,100,215,93,93,30,89,NA,NA,Cody Waite,8/5/2025,7:45:00 AM,9:15:00 AM,None,1225 / KEYED,X,X,X,"9/7/2025
PHOTOS ONLY",COMPLETE
337,NE-CAMPBELL,119 Deming Street, Campbell,NE,68932,FRANKLIN,40.29208331,-98.7359436,Site ID 337 Phase Priority P2-1,Phase 1,INDUSTRIAL TOWER WEST,1282570,Chris Bolton 308-370-1857  chris.bolton@viaero.com,"SELF-SUPPORT (195' 4"")",COMPOUND,Southern Power District,90326405,VIAERO,Chris Bolton,144,221,238,102,218,301,254,50,96,NA,NA,Cody Waite,8/5/2025,9:40:00 AM,11:00:00 AM,None,1225 / KEYED,X,X,X,8/17/2025,COMPLETE
422,NE-RIVERTON,765 41st Road Riverton, Riverton,NE,68972,FRANKLIN,40.09758331,-98.7832493,Site ID 422 Phase Priority P2-1,Phase 1,INDUSTRIAL TOWER WEST,1258740,Chris Bolton 308-370-1857  chris.bolton@viaero.com,GUYED TOWER (195'),COMPOUND,Southern Power District,141024434,VIAERO,Chris Bolton,120,140,197,164,148,199,228,160,24,NA,NA,Cody Waite,8/4/2025,8:00:00 AM,9:36:00 AM,None,1225 / KEYED,X,X,X,"9/7/2025
PHOTOS ONLY",COMPLETE
423,NE-BLOOMINGTON,891 27 1/2 Road, Bloomington,NE,68929,FRANKLIN,40.11746,-99.03892,Site ID 423 Phase Priority P2-1,Phase 1,INDUSTRIAL TOWER WEST,1258739,Chris Bolton 308-370-1857  chris.bolton@viaero.com,GUYED TOWER (330'),COMPOUND,Southern Power District,141024463,VIAERO,Chris Bolton,112,140,197,160,146,170,218,160,96,NA,NA,Cody Waite,8/4/2025,4:12:00 PM,5:27:00 PM,None,1225 / KEYED,X,X,X,9/7/2025,COMPLETE
752,NE-LAWRENCE,150 S. Smith Street, Lawrence,NE,88957,NUCKOLLS,40.28929,-98.2653,Site ID 752 Phase Priority P2-1,Phase 1,INDUSTRIAL TOWER WEST,1312634,Chris Bolton 308-370-1857  chris.bolton@viaero.com,"SELF-SUPPORT (195' 4"")",COMPOUND,SOUTH CENTRAL PPD,203469,VIAERO,Chris Bolton,114,154,238,102,216,92,72,32,91,NA,NA,Cody Waite,8/5/2025,1:33:00 AM,2:22:00 PM,None,1225 / KEYED,X,X,X,"9/7/2025
PHOTOS ONLY",COMPLETE
11,WY-TORRINGTON_NORTH,3200 W C Street,Torrington,WY,82240,,42.07647778,-104.1917333,,Phase 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,NE-SCOTTSBLUFF_HOSP_ADMIN,3700 Ave B,Scottsbluff,NE,69361,,41.88324167,-103.6668,,Phase 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,WY-TORRINGTON_21ST_CENT,5180 US-26,Torrington,WY,82240,,42.049254,-104.151499,,Phase 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,WY-TORRINGTON_TALLGRASS,7607 Road 51,Torrington,WY,82240,,42.10438,-104.16635,,Phase 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,NE-HENRY,31 Henry Road,Morrill,NE,69358,,42.00268,-104.04117,,Phase 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
644,NE-GERING_DT,1509 10th Street,Gering,NE,69341,,41.82387706,-103.6605264,,Phase 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670,NE-MITCHELL,120891 County Road C,Mitchell,NE,69357,,41.96721,-103.8358,,Phase 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
